Author,Number of Articles,Total Citations,Average Citations,h-index,g-index
Omar Andrés Carmona Cortes,1,8,8.0,1,1
João Luis Prauchner,1,8,8.0,1,1
Carlos R. Lopes,1,7,7.0,1,1
Alison Zille Lopes,1,7,7.0,1,1
Judith Kelner,3,7,2.3333333333333335,2,2
Fabiano A. Dorça,1,7,7.0,1,1
Fátima L. S. Nunes,2,7,3.5,2,2
Leandro Ferreira,1,7,7.0,1,1
Anderson Rocha Tavares,2,7,3.5,2,2
Márcia A. Fernandes,1,7,7.0,1,1
Wilian Soares Lacerda,1,7,7.0,1,1
Tadayuki Yanagi,1,7,7.0,1,1
Luciano Vieira Lima,1,7,7.0,1,1
Verônica Teichrieb,2,7,3.5,2,2
Bianca Panacho Ferreira,1,6,6.0,1,1
Alexandra Katiuska Ramos Diaz,1,6,6.0,1,1
Carlos Melo,1,6,6.0,1,1
Carina Alves,1,6,6.0,1,1
Débora Nayar Hoff,1,6,6.0,1,1
Edson C. Kitani,2,6,3.0,2,2
Jaqueline A. J. P. Soares,1,6,6.0,1,1
Higor Monteiro,1,6,6.0,1,1
Jamilson Dantas,1,6,6.0,1,1
Diego Nunes Molinos,1,6,6.0,1,1
Daniel Mesquita,1,6,6.0,1,1
Eduardo Cassiano Silva,1,6,6.0,1,1
Felippe Brandão Barros,1,6,6.0,1,1
Gilson A. Giraldi,3,6,2.0,1,2
Rafael Santos,1,6,6.0,1,1
Paulo Maciel,3,6,2.0,1,2
Paulo Silva,1,6,6.0,1,1
Pedro Henrique Campos Moreira,1,6,6.0,1,1
Maurício Alves Loureiro,1,6,6.0,1,1
Ronierison Maciel,1,6,6.0,1,1
Tairone Magalhães,1,6,6.0,1,1
Vitor M. T. Aleluia,1,6,6.0,1,1
